Thinker,Frequency
Aristotle,191
Kant,135
Heidegger,65
Hegel,51
Rawls,50
Davidson,48
Strawson,40
Levinas,38
Nietzsche,37
Husserl,26
Locke,24
Anscombe,22
Hume,22
Descartes,17
Arendt,16
Habermas,16
Parfit,15
Dasein,15
Plato,14
Weber,14
Paul,13
Ed,12
Danto,12
Wittgenstein,11
Brague,11
Creon,11
Spinoza,10
Granger,10
Marcel,10
Nussbaum,10
Franck,10
Ricoeur,9
Taylor,9
Biran,9
Propp,9
Sorge,9
Husscrl,8
Wright,8
Kermode,8
Ross,7
Maclntyre,7
Kemp,7
Donagan,7
Socrates,6
Recanati,6
Anscombc,6
Hart,6
Benjamin,6
Weil,6
Gadamer,6
Geist,6
Apel,6
Gewissen,5
Pariente,5
Freud,5
Martin,5
Martineau,5
Bremond,5
Rousseau,5
Antigone,5
Walzer,5
Lefort,5
Jonas,5
Dworkin,5
Volpi,5
Zac,5
A,4
Seuil,4
Russell,4
Grice,4
Ryle,4
Pierre,4
Chisholm,4
Schapp,4
Greimas,4
Nabert,4
Hoffe,4
Dupuy,4
Thomas,4
Fagot,4
Habcrmas,4
Dascin,4
Henry,4
Wahl,3
Guillaume,3
Robert,3
Gueroult,3
Riedel,3
Frye,3
Beauchamp,3
Jiingel,3
Greisch,3
Arcndt,3
Petit,3
Aron,3
Kenny,3
Gauthier,3
Smith,3
Perry,3
Musil,3
Jauss,3
Sartre,3
Koselleck,3
Strauss,3
Scheler,3
Marx,3
Rosenzweig,3
Machiavelli,3
Nabcrt,3
Augustine,3
Matthew,3
Rex,3
Stciner,3
Lalande,3
Claude,3
John,3
Charles,3
Hackett,2
Blair,2
Cratylus,2
Jovanovich,2
Bernanos,2
Leibniz,2
Quine,2
Frege,2
Hamlet,2
Dupont,2
Austin,2
R,2
Searle,2
Peirce,2
Harper,2
Macquarrie,2
Robinson,2
McLaughlin,2
McKcon,2
Hardie,2
McKeon,2
Ethique,2
Aquinas,2
Knox,2
